id	name	label	resource	description	synonyms	pmids	taxid	xrefs	raw_id
MONDO:0013256	chromosome 15q24 deletion syndrome	Disease	MONDO	15q24 microdeletion syndrome is a rare chromosomal anomaly characterized cytogenetically by a 1.7-6.1 Mb deletion in chromosome 15q24 and clinically by pre- and post-natal growth retardation, intellectual disability, distinct facial features, and genital, skeletal, and digital anomalies. [Orphanet:94065]	monosomy 15q24|15q24 microdeletion syndrome|15q24 recurrent microdeletion syndrome|Del(15)(q24)|chromosome 15q24 deletion syndrome			OMIM:613406|UMLS:C3150674|ORDO:94065|UMLS:CN237818|DOID:0060395|MESH:C579849	MESH:C579849
MONDO:0022321	2-methylacetoacetyl CoA thiolase deficiency	Disease	MONDO					UMLS:C2930874|MESH:C535307	MESH:C535307
MONDO:0014561	3-methylglutaconic aciduria, type VIIB	Disease	MONDO		3-methylglutaconic aciduria type VII|MEGCANN|3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia|3-methylglutaconic aciduria-cataract-neurologic involvement-neutropenia syndrome|MGCA7|3-methylglutaconic aciduria type 7|CLPB 3-methylglutaconic aciduria|3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia|MGA7			ORDO:445038|DOID:0081134|DOID:0110003|OMIM:616271|UMLS:C4225393	OMIM:616271
MONDO:0010218	46,XX sex reversal 2	Disease	MONDO		46,XX sex reversal 2|46XX sex reversal 2|46,XX Sex reversal type 2			OMIM:278850|DOID:0111763|UMLS:C2749215	OMIM:278850
MONDO:0010442	46,XX sex reversal 3	Disease	MONDO		46,XX Sex reversal type 3|46XX sex reversal 3, X-linked dominant|46,XX sex reversal 3			OMIM:300833|UMLS:C3151782|DOID:0111762	OMIM:300833
MONDO:0008966	Aagenaes syndrome	Disease	MONDO	Cholestasis-lymphedema syndrome is a rare genetic disorder characterized by neonatal intrahepatic cholestasis, often lessening and becoming intermittent with age, and severe chronic lymphedema which mainly affects the lower limbs. Patients often present with fat malabsorption leading to failure to thrive, fat soluble vitamin deficiency with bleeding, rickets, and neuropathy. In 25% of cases, cirrhosis occurs during childhood or later in life. [Orphanet:1414]	Aagenaes syndrome|cholestasis-edema syndrome, Norwegian type			ORDO:1414|MESH:C535330|DOID:6691|OMIM:214900|UMLS:C0268314|ICD-9:576.8|ICD10CM:Q82.0	MESH:C535330
MONDO:0010589	Aarskog-Scott syndrome, X-linked	Disease	MONDO	Aarskog-Scott syndrome (AAS) is a rare developmental disorder characterized by facial, limbs and genital features, and a disproportionate acromelic short stature. [Orphanet:915]	Aarskog-Scott syndrome, X-linked|Aarskog syndrome, X-linked|mental retardation, X-linked syndromic 16, X-linked recessive|Aarskog-Scott syndrome, X-linked recessive			ORDO:915|ICD-9:759.89|DOID:6683|MESH:C535331|OMIM:305400	MESH:C535331
MONDO:0007839	Aase-Smith syndrome	Disease	MONDO	Aase-Smith syndrome type I is a very rare genetic disorder characterised by the following congenital malformations: hydrocephalus (due to Dandy-Walker anomaly), cleft palate, and severe joint contractures. [Orphanet:916]	Aase-Smith I syndrome|Aase-Smith syndrome type 1|Aase-Smith syndrome|hydrocephalus-cleft palate-joint contractures syndrome			ORDO:916|MESH:C535332|OMIM:147800|UMLS:C0220686	MESH:C535332
MONDO:0011565	metabolic syndrome X	Disease	MONDO		metabolic syndrome type X|dysmetabolic syndrome X|abdominal obesity-metabolic syndrome 1			UMLS:C0524620|MESH:D024821|OMIM:605552|ICD-9:277.7|DOID:14221	OMIM:605552
MONDO:0010285	syndromic X-linked intellectual disability Abidi type	Disease	MONDO	X-linked intellectual disability, Abidi type is characterized by X-linked intellectual deficit and mild variable manifestations, including short stature, small head circumference, sloping forehead, hearing loss, abnormally shaped ears, and small testes. It has been described in eight affected males from three generations. [Orphanet:85273]	syndromic X-linked mental retardation Abidi type|MRXSAB|intellectual disability, X-linked syndromic, Abidi type|mental retardation, X-linked syndromic, Abidi type|syndromic X-linked intellectual disability Abidi type			ORDO:85273|MESH:C535556|UMLS:C1846056|OMIM:300262|DOID:0060818	MESH:C535556
MONDO:0022349	congenital absence of septum pellucidum	Disease	MONDO	The absence of the septum pellucidum is a rare condition that affects the structure of the brain. Specifically, a thin membrane called the septum pellucidum is missing from its normal position in the middle of the brain. When it is missing, symptoms may include learning difficulties, behavioral changes, seizures, and changes in vision. Absence of the septum pellucidum is not typically seen as an isolated finding. Instead, absence of the septum pellucidum is associated with other conditions such as septo-optic dysplasia. Treatment options for the condition vary depending on the underlying disorder. Diagnosis of absence of the septum pellucidum can be made through imaging such as an MRI. Symptoms of absence of the septum pellucidum typically present during childhood, but a diagnosis can also be made before an individual is born (prenatally). If an individual is found to be missing the septum pellucidum, a search for an underlying disorder should be made. [GARD:0009253]	absence of septum pellucidum			MESH:C535562|ICD-9:742.4|HP:0001331	MESH:C535562
MONDO:0010144	tibial hemimelia	Disease	MONDO	Tibial hemimelia is a rare congenital anomaly characterized by deficiency of the tibia with a relatively intact fibula. [Orphanet:93322]	congenital absence of tibia|congenital longitudinal deficiency of the tibia|tibial hemimelia|tibial longitudinal meromelia|congenital aplasia and dysplasia of the tibia with intact fibula			MESH:C535563|ORDO:93322|OMIM:275220	MESH:C535563
MONDO:0009452	Vici syndrome	Disease	MONDO	A very rare and severe congenital multisystem disorder characterized by the principal features of agenesis of the corpus callosum, cataracts, oculocutaneous hypopigmentation, cardiomyopathy and combined immunodeficiency. [Orphanet:1493]	Dionisi-Vici-Sabetta-Gambarara syndrome|immunodeficiency with cleft lip/palate, cataract, hypopigmentation, and absent corpus callosum|absent corpus callosum-cataract-immunodeficiency syndrome|Vici syndrome|corpus callosum agenesis-cataract-immunodeficiency syndrome			OMIM:242840|MESH:C535566|DOID:0060356|ORDO:1493|UMLS:C1855772	MESH:C535566
MONDO:0021745	psychosocial short stature	Disease	MONDO	A growth disorder that is observed between the ages of 2 and 15, caused by extreme emotional deprivation or stress. [Wikipedia:Psychosocial_short_stature]				MESH:C535569|UMLS:C1455735	MESH:C535569
MESH:D000051	acanthosis nigricans	Disease	CTD	A melanotic cutaneous lesion that develops in the axilla and other body folds. It may be idiopathic, drug-induced, or it may be associated with the presence of an endocrine disorder or malignancy. [NCIT:P378]	acanthosis nigricans (disease)|acanthosis nigricans|an - acanthosis nigricans|keratosis nigricans			UMLS:C0000889|HP:0100792|HP:HP:0000956|ORDO:924|DOID:3138|ICD10CM:L83|MESH:D000052|MESH:D000051	
MONDO:0007035	acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome	Disease	MONDO	This syndrome is characterised by the association of acanthosis nigricans, insulin resistance, severe muscle cramps and acral hypertrophy. [Orphanet:90301]				UMLS:C1860215|MESH:C536000|ORDO:90301|DOID:3138|HP:0000956|MESH:D000052|OMIM:200170	MESH:D000052
MONDO:0008696	acatalasia	Disease	MONDO	A congenital disorder resulting from a deficiency in erythrocyte catalase, an enzyme responsible for the breakdown of hydrogen peroxide. [Orphanet:926]	acatalasemia|catalase deficiency|deficiency of catalase|acatalasia			ORDO:926|DOID:2582|UMLS:C0268419|ICD-9:277.6|MESH:D020642|MESH:C536000|OMIM:614097	MESH:C536000
MONDO:0013571	Achondroplasia	Disease	MONDO	Achondroplasia is the most common form of chondrodysplasia, characterized by rhizomelia, exaggerated lumbar lordosis, brachydactyly, and macrocephaly with frontal bossing and midface hypoplasia. [Orphanet:15]	ACH|Achondroplasia|chondrodystrophia|Achondroplastic physique			ORDO:15|DOID:2582|MESH:D020642|DOID:4480|ICD10CM:Q77.4|UMLS:C0001080|OMIM:100800|MESH:D000130	MESH:D020642
MONDO:0007037	lactic acidosis	Disease	MONDO	Metabolic acidosis characterized by the accumulation of lactate in the body. It is caused by tissue hypoxia. [NCIT:P378]				DOID:4480|MESH:D000140|UMLS:C0001125|DOID:0111158|MESH:D000130	MESH:D000130
MONDO:0006040	acrocapitofemoral dysplasia	Disease	MONDO	Acrocapitofemoral dysplasia is a recently delineated skeletal dysplasia, characterized clinically by short stature of variable degrees with short limbs, brachydactyly and narrow thorax. [Orphanet:63446]	acrocapitofemoral dysplasia			HP:0003128|MESH:C564334|OMIM:607778|MESH:D000140|DOID:0050604|DOID:3650|UMLS:C1843096|ORDO:63446	MESH:D000140
MONDO:0011907	eccrine acrospiroma	Disease	MONDO	A rare cutaneous tumor of eccrine sweat gland origin. It is most commonly found on the extremities and is usually benign. There is no indication that heredity or external agents cause these tumors. [MESH:D018250]	eccrine acrospiroma|eccrine hidradenoma of skin|eccrine hidradenoma|poroma (acrospiroma)|poroma|eccrine poroma			DOID:5442|MESH:D018250|MESH:C564334|DOID:0050604	MESH:C564334
MESH:C563187	ectopic ACTH secretion syndrome	Disease	CTD	A syndrome characterized by abnormal secretion of adrenocorticotrophic hormone in conjunction with neoplastic growth occurring anywhere in the body. The most common associations are tumors of the bronchus (oat cell or carcinoid), thymic tumors (epithelial or carcinoid), and pancreatic endocrine tumor. (DeVita et al. Cancer, p 1364. 4th edition. Lippincott) [NCIT:C4387]	ectopic ACTH syndrome|ectopic ACTH secretion syndrome|ectopic ACTH secretion|hypercortisolism due to nonpituitary tumor			UMLS:C0001231|DOID:0060234|MESH:D000182|MESH:C563187	
MONDO:0006738	congenital myopathy with excess of thin filaments	Disease	MONDO	A rare cutaneous tumor of apocrine or eccrine SWEAT GLAND origin. It is most commonly found on the extremities and is usually benign. It appears as a solitary nodule or cyst and may be solid or produce a watery discharge. It is related to POROMA except in acrospiroma it does not involve the epidermis. There is no indication that heredity or external agents cause these tumors.	actin myopathy			MESH:C579880|ORDO:98904|MESH:D018250|DOID:5442	MESH:D018250
MONDO:0043472	acute kidney failure	Disease	MONDO	Sudden and sustained deterioration of the kidney function characterized by decreased glomerular filtration rate, increased serum creatinine or oliguria. [NCIT:C26808]	ARF|acute renal failure|kidney failure, acute|AKI|acute kidney injury			MESH:D058186|DOID:3021|ICD10CM:N17|MESH:D000182	MESH:D000182
MONDO:0020342	congenital absence/hypoplasia of fingers excluding thumb, unilateral	Disease	MONDO	Unilateral adactylia is a terminal transverse defect of the hand characterized by the absence of the terminal portions of digits 2 to 5 with a hypoplastic thumb (adactylia). [Orphanet:973]	Adactyly of hand, unilateral|digits 2-5 oligodactyly, unilateral|digits 2-5 hypodactyly, unilateral			ORDO:973|MESH:C579880|MESH:C562417|OMIM:102650	MESH:C579880
MONDO:0002492	Adams-Oliver syndrome	Disease	MONDO	Adams-Oliver Syndrome (AOS) is a rare disorder characterized by the combination of congenital limb abnormalities and scalp defects, often accompanied by skull ossification defects. [Orphanet:974]	congenital scalp defects with distal limb reduction anomalies|Adams Oliver syndrome|limb, scalp and skull defects|AOS|congenital scalp defects with distal limb anomalies			MESH:C538225|UMLS:C0265268|DOID:0060227|HP:0001919|ICD-9:759.89|MESH:D058186|DOID:3021|ORDO:974	MESH:D058186
MESH:C564356	adrenal cortex disorder	Disease	CTD	A disease involving the adrenal cortex. [https://orcid.org/0000-0002-6601-2165]	disease of adrenal cortex|adrenal cortex disease or disorder|disorder of adrenal cortex|disease or disorder of adrenal cortex|adrenal cortex disease			HP:0004729|DOID:3952|MESH:C564356|MESH:D000303|UMLS:C0001614	
MONDO:0007062	adrenal gland disorder	Disease	MONDO	A disease involving the adrenal gland. [https://orcid.org/0000-0002-6601-2165]	adrenal gland disorder|disease of adrenal gland|disorder of adrenal gland|adrenal gland disorders|adrenal gland disease or disorder|adrenal gland disease|adrenal gland diseases|disease or disorder of adrenal gland			ICD-9:255|DOID:9553|ICD-9:255.9|ICD-9:255.8|MESH:C562417|MESH:D000307	MESH:C562417
MONDO:0007034	adrenal gland cancer	Disease	MONDO	A malignant neoplasm involving the adrenal gland [https://orcid.org/0000-0002-6601-2165]	malignant adrenal tumor|malignant tumor of adrenal gland|cancer of adrenal gland|adrenal cancer|malignant adrenal neoplasm|malignant adrenal gland tumor|malignant tumor of the adrenal gland|malignant neoplasm of adrenal gland|malignant neoplasm of the adrenal gland|adrenal gland cancer|malignant adrenal gland neoplasm			MESH:C538225|ICD-9:239.7|MESH:D000310|DOID:3953|ICD-9:194.0	MESH:C538225
MONDO:0002816	congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency	Disease	MONDO	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency is a very rare form of congenital adrenal hyperplasia (CAH) encompassing salt-wasting and non-salt wasting forms with a wide variety of symptoms, including glucocorticoid deficiency and male undervirilization manifesting as a micropenis to severe perineoscrotal hypospadias. [Orphanet:90791]	CAH due to 3-beta-hydroxysteroid dehydrogenase deficiency|3-beta HSD deficiency			OMIM:201810|MESH:C538236|ORDO:90791|DOID:3952|MESH:D000303	MESH:D000303
